id,question,solution,intuitive_answer,n_choices,choice1,choice2,choice3,choice4,choice5,choice6
1,Бейсбольная бита и мяч вместе стоят 110 рублей. Бита дороже мяча на 100 рублей. Сколько (в рублях) стоит мяч?,5,10,0,,,,,,
2,"5 машин за 5 минут изготавливают 5 изделий. Сколько времени (в минутах) потребуется 100 машинам, чтобы изготовить 100 изделий?",5,100,0,,,,,,
3,Пруд зарастает кувшинками. Каждый день их площадь удваивается. Целиком озеро зарастёт за 48 дней. За сколько дней цветы поглотят половину его поверхности?,47,24,0,,,,,,
4,"Если Петя выпивает бочку воды за 6 дней, а Маша за 12 дней, сколько дней у них вместе уйдёт на то, чтобы выпить одну бочку воды?",4,9,0,,,,,,
5,Вова занял на конкурсе одновременно 15 место с начала и с конца. Сколько было участников в конкурсе?,29,30,0,,,,,,
6,"Человек купил свинью за 60 рублей, продал за 70 рублей, опять купил за 80 рублей и, наконец, продал её за 90 рублей. Сколько (в рублях) он заработал? ",20,10,0,,,,,,
7,"Одним прекрасным днём в начале 2008 года Семён решил инвестировать 8 млн рублей в фондовый рынок. Шесть месяцев спустя, 17 июля, купленные им акции упали на 50%. К счастью для Семёна, с 17 июля по 17 октября эти акции выросли на 75%. В итоге, Семён:",3,2,3,ничего не заработал и не потерял на фондовом рынке,заработал на фондовол рынке,потерял на фондовом рынке,,,
8,Вы едете со скоростью 60 км/ч из пункта А в пункт В и со скоростью 30 км/ч обратно. Какой была средняя скорость (в км/ч)?,40,45,0,,,,,,
9,"Шести работникам надо перенести 600 фунтов сахара с завода в магазин, каждый из них может нести сразу 100 фунтов. Шестеро перенесут весь сахар сразу за 1 час. За сколько часов перенесут чахар три работника? ",3,2,"0
",,,,,,
10,"Мастер Йода провёл одну четвёртую своей жизни юнлингом, одну восьмую молодым падаваном и половину рыцарем-джедаем. Если мастер Йода провёл 100 лет умудрённым опытом мастером-джедаем, сколько лет он был рыцарем-джедаем?",400,,0,,,,,,
11,"Маша сдала четыре теста. Если за три теста Маша набрала 80, 85 и 95 соответственно, а средний балл за все четыре теста составил 85, сколько Маша набрала на четвёртом тесте?",80,,0,,,,,,
12,"Предположим, m и n - целые числа, оба строго больше 2. Сравните m/n и (m+1)/(n+1)",3,,3,m/n больше или равно (m+1)/(n+1),m/n меньше или равно (m+1)/(n+1),нельзя сказать,,,
13,Какое число идёт следующим в цепочке? 1-1-2-3-5-8-13,21,,0,,,,,,
14,"Маше шестнадцать лет, и она в четыре раза старше своего брата. Сколько будет Маше, когда она будет вдвое старше брата?",24,,0,,,,,,
15,"В шляпе 20 шаров, пронумерованных от 1 до 20. Если выбрать из шляпы два разных шара случайным образом, то какова вероятность получить оба шара с чётными числами?",2,,6,2/67,9/38,1/10,1/4,1/2,1/19
